,"name_of_satellite,_alternate_names",current_official_name_of_satellite,country/org_of_un_registry,country_of_operator/owner,operator/owner,users,purpose,detailed_purpose,class_of_orbit,type_of_orbit,longitude_of_geo_(degrees),perigee_(km),apogee_(km),eccentricity,inclination_(degrees),period_(minutes),launch_mass_(kg_),dry_mass_(kg_),power_(watts),date_of_launch,expected_lifetime_(yrs_),contractor,country_of_contractor,launch_site,launch_vehicle,cospar_number,norad_number,comments,source_used_for_orbital_data,source
2,Aalto-1 ,Aalto-1,Finland,Finland,Aalto University,Civil,Technology Development,[],LEO,Sun-Synchronous,0.0,497.0,517.0,0.00145,97.45,94.7,4.5,,4.5,2017-06-23 00:00:00,2.0,Aalto University,Finland,Satish Dhawan Space Centre,PSLV,2017-036L,42775,Technology development and education.,"['10_17', 'JMSatcat']",https://directory.eoportal.org/web/eoportal/satellite-missions/a/aalto-1  http://www.planet4589.org/space/log/satcat.txt
4,"ABS-2 (Koreasat-8, ST-3)",ABS-2,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,[],GEO,,75.0,35778.0,35793.0,0.0001779127278765,0.08,1436.03,6330.0,,16000.0,2014-02-06 00:00:00,15.0,"['Loral', 'Space Systems']",USA,Guiana Space Center,Ariane 5 ECA,2014-006A,39508,"32 C-band, 51 Ku-band, and 6 Ka-band transponders. $214 million lawsuit for bad beam.",ZARYA,http://www.absatellite.net/satellite-fleet/?sat=abs6  http://www.zarya.info/Diaries/Launches/Launches.php?year=2014 http://www.absatellite.net/2010/10/13/asia-broadcast-satellite-signs-abs-2-satellite-manufacturing-contract-with-space-systemsloral/ http://www.spacenews.com/article/satellite-telecom/42218abs-files-214-million-insurance-claim-for-bad-satellite-beam
7,"ABS-4 (ABS-2i, MBSat, Mobile Broadcasting Satellite, Han Byul)",ABS-4,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,[],GEO,,75.0,35780.0,35793.0,0.0001541873732401,0.01,1436.1,4143.0,1700.0,7400.0,2004-03-13 00:00:00,12.0,"['Loral', 'Space Systems']",USA,Cape Canaveral,Atlas 3,2004-007A,28184,Purchased by ABS in 2013.,"['12_08', 'JM']",http://www.absatellite.net/satellite-fleet/?sat=abs2   http://space.skyrocket.de/doc_sdat/mbsat-1.htm
8,"ABS-6 (ABS-1, LMI-1, Lockheed Martin-Intersputnik-1)",ABS-6,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,[],GEO,,159.0,35777.0,35794.0,0.0002016344249267,0.01,1436.08,2894.0,1730.0,6800.0,1999-09-26 00:00:00,15.0,Lockheed Martin,USA,Baikonur Cosmodrome,Proton,1999-053A,25924,"28 C-band, 16 Ku-band; business services, public voice and data services, broadcasting, direct-to-home; Eastern Europe, CIS, South and Southeast Asia, Africa, Middle East, Australia.","['12_08', 'JM']",http://www.washingtonpost.com/wp-dyn/articles/A18888-2004May11.html  http://nssdc.gsfc.nasa.gov/spacewarn/spx551.html http://www.interpsputnik.com/1mi1chars.shtml http://www.intersputnik.com/press_270999.htm http://www.lockheedmartin.com/content/dam/lockheed/data/space/documents/a2100/A2100brochure.pdf
40,"Afghansat-1 (Eutelsat 48D [Eutelsat 48B, Eutelsat W2M])",Eutelsat 48D,France,Multinational,EUTELSAT S.A.,Commercial,Communications,[],GEO,,48.0,35764.0,35808.0,0.0005218711452699,0.12,1436.08,3460.0,1555.0,7000.0,2008-12-20 00:00:00,15.0,EADS Astrium,France,Guiana Space Center,Ariane 5,2008-065B,33460,30 Ku-band transponders.,"['12_08', 'JM']",http://www.cdi.org/friendlyversion/printversion.cfm?documentID=4478  http://www.tbs-satellite.com/tse/online/sat_eutelsat_w2m.html http://en.wikipedia.org/wiki/Eutelsat_W2M
43,AIM (Aeronomy of Ice in Mesosphere),AIM,USA,USA,"['Center for Atmospheric Sciences, Hampton University', 'NASA']",Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0.0,544.0,552.0,0.0005782017924255,97.9,96.2,215.0,197.0,216.0,2007-04-25 00:00:00,2.0,Orbital Sciences Corp.,USA,Vandenberg AFB,Pegasus XL,2007-015A,31304,Study noctilucent clouds (NLC) in the polar mesosphere. In 2011 the mission was extended through FY 2012.,"['12', 'www.satellitedebris.net 12']",http://aim.hamptonu.edu/  http://www.lib.cas.cz/www/space.40/2007/015A.HTM http://www.nasa.gov/mission_pages/aim/index.html http://www.lib.cas.cz/space.40/2011/044G.HTM
58,Amazonas-2,Amazonas-2,Brazil,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,Optical Imaging,GEO,,61.0,35767.0,35805.0,0.0004507068981876,0.03,1436.08,5465.0,,15300.0,2009-10-01 00:00:00,15.0,EADS Astrium,"['France', 'Germany', 'Spain', 'UK']",Guiana Space Center,Ariane 5,2009-054A,35942,"54 Ku-band, 10 C-band transponders; North, Central and South America.","['12_09', 'JM']",http://nssdc.gsfc.nasa.gov/spacewarn/spx672.html  http://www.hispasat.com/List.aspx?ShowSearch=true&sectionsId=87&lang=en
59,Amazonas-3,Amazonas-3,Brazil,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,[],GEO,,61.0,35781.0,35791.0,0.0001186070784704,0.03,1436.05,6265.0,2778.0,14000.0,2013-02-07 00:00:00,15.0,"['Loral', 'Space Systems']",USA,Guiana Space Center,Ariane 5 ECA,2013-006A,39078,[],SC - ASCR,http://www.hispasat.com/Detail.aspx?sectionsId=67&lang=en  http://www.arianespace.com/news-press-release/2013/2-7-2013-VA212-launch.asp http://space50.kosmo.cz/s40/2013/INDEX1.HTM
64,"AMC-11 (Americom-11, GE 11)",AMC-11,USA,USA,SES S.A.,Commercial,Communications,[],GEO,,130.93,35774.0,35797.0,0.0002727995160773,0.04,1436.07,2340.0,2316.0,6500.0,2004-05-19 00:00:00,15.0,Lockheed Martin,USA,Cape Canaveral,Atlas 2AS,2004-017A,28252,24 C-band transponders.,"['12_08', 'JM']",http://nssdc.gsfc.nasa.gov/spacewarn/spx607.html  http://www.ses-americom.com/satellites/amc-10-11.html http://www.spaceref.com/news/viewpr.html?pid=14268 http://perso.wanadoo.fr/eurospace/espdatabase/index.html http://www.lib.cas.cz/www/space.40/2004/017A.HTM http://www.lockheedmartin.com/content/dam/lockheed/data/space/documents/a2100/A2100brochure.pdf
67,AMC-21 (Americom 21),AMC-21,United Kingdom,USA,SES S.A.,Commercial,Communications,[],GEO,,124.86,35778.0,35793.0,0.0001779127278765,3.0,1436.1,2500.0,,5000.0,2008-08-14 00:00:00,15.0,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,2008-038B,33275,"Television services to the US, Canada, Mexico and Caribbean.","['12_08', 'JM']",http://www.orbital.com/NewsInfo/Publications/AMC-21_Fact.pdf  http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2008/038B.HTM
78,Anik F1 ,Anik F1,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,[],GEO,,107.27,35778.0,35793.0,0.0001779127278765,0.02,1436.08,4710.0,2950.0,15500.0,2000-11-21 00:00:00,15.0,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,2000-076A,26624,[],"['12_08', 'JM']",http://www.boeing.com/defense-space/space/bss/hsc_pressreleases/00_04_17_anikf2.html http://www.telesat.ca/satellites/photos/satellites_gallery7.htm
79,Anik F1R,Anik F1R,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,[],GEO,,107.3,35777.0,35795.0,0.0002134927412467,0.02,1436.1,4500.0,,10000.0,2005-09-09 00:00:00,15.0,EADS Astrium,"['France', 'Germany', 'Spain', 'UK']",Baikonur Cosmodrome,Proton M,2005-036A,28868,[],"['12_08', 'JM']",http://www.telesat.ca/satellites/index.htm  http://www.telesat.ca/news/2005/05-14.htm http://www.space.eads.net/families/daily-life-benefits/communications/anik-f1r http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2005/036A.HTM
80,Anik F2 ,Anik F2,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,[],GEO,,111.07,35781.0,35790.0,0.0001067476367259,0.01,1436.08,5910.0,3805.0,16000.0,2004-07-18 00:00:00,15.0,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 5,2004-027A,28378,"24 30W C-band, 40 127W Ku-band, 50 90W transponders for broadband and telemedicine to northern US states and Canada","['12_08', 'JM']",http://perso.wanadoo.fr/eurospace/espdatabase/index.html  http://www.telesat.ca/satellites/index.htm http://www.boeing.com/defense-space/space/bss/factsheets/702/anik_f2/anik_f2.html http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2004/027A.HTM
81,Anik F3,Anik F3,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,[],GEO,,118.69,35778.0,35794.0,0.0001897713255527,0.01,1436.1,4715.0,,17500.0,2007-04-09 00:00:00,15.0,EADS Astrium,"['France', 'Germany', 'Spain', 'UK']",Baikonur Cosmodrome,Proton M,2007-009A,31102,"32 Ku-band, 24 C-band and 2 Ka-band transponders; voice and video throughout North America.","['12_08', 'JM']",http://nssdc.gsfc.nasa.gov/spacewarn/spx642.html  http://www.telesat.ca/satellites/index-e.asp
82,Anik G1,Anik G1,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,[],GEO,,107.3,35773.0,35799.0,0.0003083784040231,0.01,1436.08,4905.0,,17500.0,2013-04-15 00:00:00,15.0,"['Loral', 'Space Systems']",USA,Baikonur Cosmodrome,Proton M,2013-014A,39127,16 extended Ku-band transponders fully contracted to Shaw Direct for 15 years.,SC - ASCR,http://www.telesat.com/news-events/telesat-successfully-launches-anik-g1-satellite  http://www.ssloral.com/html/satexp/anik_g1.html http://www.planet4589.org/space/log/geo.log http://space50.kosmo.cz/s40/2013/I014A.HTM
